"ContactEmployeeID";"ContactID";"EmployeeID";"ContactDate";"Description"
1;1;1;"2023-02-10";"Meeting about new project"
2;2;2;"2023-01-15";"Discuss requirements"
3;3;3;"2023-03-22";"Conference call for feedback"
4;4;4;"2023-02-05";"Kickoff meeting"
5;5;5;"2023-04-12";"Review project milestones"
6;6;6;"2023-03-10";"Discuss design changes"
7;7;7;"2023-04-18";"Meet with stakeholders"
8;8;8;"2023-05-20";"Finalize requirements"
9;9;9;"2023-06-01";"Project closure discussion"
10;10;10;"2023-07-15";"Post-project review"
